id;id_textual;nom;activat;visible_publicacio;id_pare
53233;HUAWEI;Huawei;0;0;52099
54173;IBEX35;IBEX 35;0;0;52099
53482;IGNGARRIGA;Ignacio Garriga;0;0;52099
52521;IGUALTATGEN;Igualtat de gènere;1;1;52099
52949;ILLESBALEARS;Illes Balears;0;0;52099
54539;IMMERSIOLING;Immersió lingüística;0;0;52099
54187;AMBLACULTURA;Impulsem Cultura;0;0;52099
53240;HORTASTJOAN;Incendi Horta de Sant Joan;0;0;52099
55888;CAT55888;Incendi València;0;0;52099
52802;INCENDIS;Incendis;0;0;52099
52213;INDEP;Independència;0;0;52099
57242;INDONESIA;Indonèsia ;0;0;52099
54419;INDULTS;Indults;0;0;52099
52764;ARRIMADAS;Inés Arrimadas;0;0;52099
54541;INFANCIA;Infància ;0;0;52099
52577;INFRAESTRUCT;Infraestructures;0;0;52099
52444;INIESTA;Iniesta;0;1;52104
52722;INPUTTV;Input TV;0;1;52121
52530;INSTAGRAM;Instagram;0;0;52099
54106;ARTIFICIAL;Intel·ligència artificial;0;0;52099
56274;INTERNACIONA;Internacional;0;0;52099
52399;INTERNET;Internet;0;0;52099
52897;INTERPOL;Interpol;0;0;52099
52501;INVESTIDURA;Investidura;0;0;52099
52979;INVCATALANS;Investigadors catalans;0;0;52099
53427;ERREJON;Íñigo Errejón;0;0;52099
54417;BELARRA;Ione Belarra;0;0;52099
54109;IPC;IPC ;0;0;52099
52742;IRAN;Iran;0;0;52099
53563;IRAQ;Iraq;0;0;52099
54717;IRLANDA;Irlanda;0;0;52099
54716;IRLANDANORD;Irlanda del Nord;0;0;52099
54672;IRPF;IRPF;0;0;52099
54301;AYUSO;Isabel Díaz Ayuso;0;0;52099
53544;CLARASIMO;Isabel-Clara Simó;0;0;52099
52418;ISLAM;Islam;0;0;52099
52417;ISLAMOFOBIA;Islamofòbia;0;0;52099
52743;ISRAEL;Israel;0;0;52099
53055;ITALIA;Itàlia;0;0;52099
52928;BOLSONARO;Jair Bolsonaro;0;0;52099
52943;KHASHOGGI;Jamal Khashoggi;0;1;52099
54372;JAPO;Japó;0;0;52099
53260;COLLBONI;Jaume Collboni ;0;0;52099
52384;VIDAL;Jaume Vidal Alcover;0;0;52099
55734;JAVIERMILEI;Javier Milei ;0;0;52099
52727;GOUZY;Jep Gouzy;0;0;52099
54260;ALBIACH;Jéssica Albiach;0;0;52099
53696;JESUSMONCADA;Jesús Moncada;0;0;52099
52654;JIHADISME;Jihadisme ;0;0;52099
52973;CAT52973;Joan Brossa;0;0;52099
52458;BROSSA;Joan Brossa i Cuervo;0;0;52099
52382;CAPRI;Joan Capri;0;0;52099
52605;COROMINES;Joan Coromines;0;0;52099
52678;DAUSA;Joan Dausà;0;0;52099
56911;JGARCIA;Joan Garcia;0;0;52104
53493;JOANMARGARIT;Joan Margarit;0;0;52099
52602;PERUCHO;Joan Perucho;0;0;52099
55526;JOAOFELIX;Joao Félix;0;0;52104
52771;JOAQUIMFORN;Joaquim Forn;0;0;52099
53098;PUYAL;Joaquim Maria Puyal;0;1;52122
54230;JOCAPOSTES;Joc i apostes;0;0;52099
52490;JOCSOLIMPICS;Jocs Olímpics;0;0;52104
54748;JJOOCONSULTA;Jocs Olímpics Hivern ;0;0;52099
53954;JOEBIDEN;Joe Biden;0;0;52099
